band_name,fans,formed,origin,style,split
Macbeth,48,1995,Italy,Gothic,-
Magica,48,2002,Romania,Symphonic power,2002
Majesty,48,1997,Germany,"Heavy,Power",-
Mortal Sin,48,1985,Australia,Thrash,1985
Skyharbor,48,2009,India,"Progressive math,Djent",-
Sleepytime Gorilla Museum,48,1999,USA,"Avantgarde,Avantgarde rock",1999
The Berzerker,48,1995,Australia,"Industrial grindcore,Death",2010
Becoming The Archetype,47,1999,USA,Progressive metalcore,1999
Cancer,47,1987,United Kingdom,"Death,Thrash",-
Chelsea Grin,47,2007,USA,Deathcore,2007
Entrails,47,1990,Sweden,Death,-
Lux Occulta,47,1994,Poland,"Atmospheric black,Avantgarde black,Extreme avantgarde",1994
Noctem,47,2001,Spain,"Melodic black,Death",-
Ophis,47,2001,Germany,Death doom,2001
Skull Fist,47,2006,Canada,"Heavy,Speed",-
Tourniquet,47,1990,USA,Thrash,1990
Tracedawn,47,2005,Finland,Melodic death,-
Aeternus,46,1993,Norway,Blackened death,1993
Aghora,46,1995,USA,Progressive,-
Alghazanth,46,1995,Finland,Symphonic black,1995
Anterior,46,2003,United Kingdom,Metalcore,2012
Arjen Anthony Lucassen,46,1980,The Netherlands,Progressive rock,1980
Dark Suns,46,1997,Germany,"Progressive death,Extreme progressive,Progressive,Progressive rock",-
Imperium Dekadenz,46,2004,Germany,Black,2004
Lock Up,46,1998,United Kingdom,"Death,Grindcore",-
Miseration,46,2006,Sweden,Death,2006
Pensées Nocturnes,46,2009,France,"Depressive black,Neoclassical",-
Raunchy,46,1994,Denmark,"Alternative,Industrial,Melodic death",1994
ReinXeed,46,2002,Sweden,Power,-
Sulphur Aeon,46,2010,Germany,Death,2010
The Man-Eating Tree,46,2009,Finland,Suomi,-
Thy Majestie,46,1998,Italy,Symphonic power,1998
Transcending Bizarre?,46,2000,Greece,"Avantgarde,Symphonic black",-
Ved Buens Ende,46,1994,Norway,"Black,Avantgarde",1994
Warlord,46,1980,USA,Heavy,-
Ava Inferi,45,2005,Portugal,Gothic doom,2005
Before The Rain,45,1997,Portugal,Death doom,-
ETHS,45,1999,France,"Nu,Metalcore",1999
Euphoreon,45,2009,New Zealand,Extreme power,-
Extol,45,1993,Norway,"Progressive death,Extreme progressive",1993
Feared,45,2007,Sweden,Progressive death,-
Harakiri For The Sky,45,2011,Austria,"Black,Post-metal",2011
Impending Doom,45,2005,USA,Deathcore,-
Lord Mantis,45,2008,USA,Blackened sludge,2008
Macabre,45,1985,USA,"Grindcore,Death",-
Mutiny Within,45,2002,USA,"Progressive metalcore,Extreme power",2002
Pink Cream 69,45,1987,Germany,"Melodic hard rock,Heavy",-
Repulsion,45,1985,USA,Grindcore,1985
Rishloo,45,2002,USA,"Alternative,Progressive",-
Timeless Miracle,45,2001,Sweden,Power,2001
Universum,45,2006,Australia,Gothenburg,-
Archgoat,44,1989,Finland,"Black,Death",1989
Archspire,44,2007,Canada,Technical death,-
Disgorge,44,1992,USA,Brutal death,1992
Engel,44,2004,Sweden,Modern gothenburg,-
Entombed A.D.,44,2014,Sweden,Death,2014
Hannes Grossmann,44,2013,Germany,"Progressive death,Technical death",-
Impaled,44,1997,USA,"Deathgrind,Goregrind ,Death",1997
Lindemann,44,2015,Germany,Industrial,-
Shylmagoghnar,44,2004,The Netherlands,"Atmospheric black,Progressive black,Melodic death",2004
The Old Dead Tree,44,1997,France,Gothic,-
Waylander,44,1993,United Kingdom,Celtic folk,1993
Zero Hour,44,1993,USA,Progressive,2008
Abyssal,43,2011,United Kingdom,Blackened death,2011
Amenra,43,2003,Belgium,"Doom,Sludge,Hardcore",-
Antestor,43,1990,Norway,"Death doom,Black,Symphonic black",1990
Ataraxie,43,2000,France,"Death,Funeral doom",-
Black Tusk,43,2005,USA,"Sludge,Hardcore,Punk",2005
Deceased,43,1985,USA,"Death,Thrash,Heavy",-
Dionysus,43,1999,Sweden,Melodic power,1999
Elysian Blaze,43,2003,Australia,"Atmospheric black,Funeral doom",-
Enthrope,43,2006,Finland,Melodic death,2006
Horrendous,43,2009,USA,Death,-
Imperia,43,2003,Norway,"Symphonic,Gothic",2003
Infestus,43,2003,Germany,Black,-
Jolly,43,2008,USA,Progressive,2008
Kromlek,43,2004,Germany,Pagan folk,2012
Lost Society,43,2010,Finland,Thrash,2010
Master,43,1983,USA,Death,-
Morgana Lefay,43,1986,Sweden,Power,1986
Sacramentum,43,1990,Sweden,"Black,Death",2001
Skindred,43,1999,United Kingdom,"Nu,Alternative,Ragga",1999
Starkill,43,2012,USA,Melodic death,-
Virus,43,2000,Norway,Avantgarde,2000
Atrocity,42,1985,Germany,"Death,Gothic industrial",-
Borealis,42,2005,Canada,Power,2005
Cancer Bats,42,2004,Canada,"Hardcore,Metalcore,Punk",-
Charred Walls Of The Damned,42,2009,USA,"Us power,Thrash",2009
Clawfinger,42,1990,Sweden,"Alternative,Nu",-
Crimson Shadows,42,2006,Canada,Extreme power,2006
Degradead,42,2006,Sweden,Gothenburg,-
Demonic Resurrection,42,2000,India,"Death,Symphonic,Blackened death",2000
Echoes Of Eternity,42,2005,USA,Symphonic progressive,-
Evocation,42,1991,Sweden,Death,1991
Galadriel,42,1995,Slovak Republic,Symphonic doom,-
Helrunar,42,2001,Germany,Black,2001
Hooded Menace,42,2007,Finland,Death doom,-
Ikuinen Kaamos,42,1997,Finland,"Black,Death doom,Progressive death",1997
Kat,42,1979,Poland,"Heavy,Speed,Thrash",-
Klone,42,1999,France,"Alternative,Progressive",1999
Magic Kingdom,42,1998,Belgium,Power,-
Maximum The Hormone,42,1998,Japan,"Alternative,Hardcore,Punk",1998
Mouth Of The Architect,42,2003,USA,"Atmospheric sludge,Post-metal",-
Nadja,42,2002,Canada,"Ambient,Drone ,Doom",2002
Nocte Obducta,42,1995,Germany,"Black,Progressive black,Avantgarde black",-
Otyg,42,1995,Sweden,Folk,1995
Setherial,42,1993,Sweden,Black,-
Skogen,42,2009,Sweden,Black,2009
SOiL,42,1997,USA,"Hard rock,Grunge",-
Timo Tolkki's Avalon,42,2012,Finland,"Power,Symphonic",2012
Unanimated,42,1988,Sweden,Melodic death,-
Vicious Rumors,42,1980,USA,Us power,1980
36 Crazyfists,41,1994,USA,"Alternative,Metalcore,Melodic metalcore",-
Acid Witch,41,2007,USA,Death doom,2007
Carnivore,41,1982,USA,"Crossover thrash,Hardcore,Punk",2010
Craft,41,1994,Sweden,Black,1994
Dark Forest,41,2003,Canada,Viking black,-
Darkestrah,41,1999,"Kyrgyzstan, Germany",Pagan black,1999
Excalion,41,2000,Finland,Power,-
Fleshcrawl,41,1987,Germany,Death,1987
Heljareyga,41,2009,Faroe Islands,Progressive,-
Mithras,41,1998,United Kingdom,"Atmospheric death,Brutal death",1998
Necrophagia,41,1983,USA,Death,-
Pathology,41,2006,USA,Brutal death,2006
Peccatum,41,1998,Norway,Avantgarde,2006
Saint Deamon,41,2006,Sweden,"Heavy,Power",2006
Saltatio Mortis,41,2000,Germany,Medieval folk,-
Suspyre,41,2001,USA,Progressive,2001
Taranis,41,1999,Hungary,"Symphonic black,Progressive",2013
Trepalium,41,2000,France,Death,2000
A Pale Horse Named Death,40,2011,USA,"Doom,Gothic",-
Ablaze In Hatred,40,2004,Finland,"Melodic death,Doom",2004
Aetherian,40,2013,Greece,Melodic death,-
Almôra,40,2001,Turkey,"Power,Folk",2001
Dreamshade,40,2006,Switzerland,Melodic death,-
Dredg,40,1993,USA,"Alternative,Progressive rock",1993
Gwydion,40,1995,Portugal,Viking folk,-
Huntress,40,2009,USA,Heavy,2009
Inborn Suffering,40,2002,France,"Death,Doom",-
Leverage,40,2004,Finland,"Symphonic power,Progressive heavy",2004
Man Must Die,40,2002,United Kingdom,Technical death,-
Mandragora Scream,40,1997,Italy,Gothic,1997
Mokoma,40,1996,Finland,"Grunge rock,Thrash",-
Mortal Love,40,2000,Norway,Gothic,2000
Mortiis,40,1993,Norway,"Ambient,Darkwave,Gothic industrial",-
Sunset In The 12th House,40,2011,Romania,"Post-metal,Post-rock,Psychedelic rock",2011
Warrant,40,1984,USA,Hard rock,-
Assassin,39,1982,Germany,Thrash,1982
Azaghal,39,1995,Finland,Black,-
Brutality,39,1986,USA,Death,1986
Budgie,39,1967,United Kingdom,"Hard rock,Heavy,Progressive rock",-
Cauldron,39,2006,Canada,Heavy,2006
Demigod,39,1990,Finland,Death,2008
Dissona,39,2005,USA,"Progressive,Avantgarde",2005
Ixion,39,2004,France,Atmospheric doom,-
Katra,39,2006,Finland,Symphonic,2006
Nomans Land,39,1996,Russia,"Doom,Viking folk,Viking black",-
Ondskapt,39,2000,Sweden,Black,2000
Rudra,39,1992,Singapore,"Death,Thrash",-
Shattered Hope,39,2002,Greece,Death doom,2002
Spastic Ink,39,1993,USA,"Progressive,Instrumental",-
Wormed,39,1998,Spain,"Brutal death,Grindcore",1998
Aborym,38,1991,Italy,Industrial black,-
Belenos,38,1995,France,Pagan black,1995
Church Of Misery,38,1995,Japan,"Doom,Stoner",-
Cirith Ungol,38,1972,USA,"Heavy,Doom",1972
Crystal Viper,38,2003,Poland,Heavy,-
Darkwell,38,1999,Austria,Gothic,1999
Destinity,38,1996,France,"Symphonic black,Melodic death",-
Dismal Euphony,38,1992,Norway,"Death,Melodic black",1992
Divinefire,38,2004,Sweden,Power,-
Domine,38,1983,Italy,Power,1983
Falls Of Rauros,38,2005,USA,"Atmospheric black,Neofolk",-
Gates Of Ishtar,38,1992,Sweden,Melodic death,1992
Girlschool,38,1975,United Kingdom,"New wave of british heavy,Heavy",-
Gorgasm,38,1996,USA,Brutal death,1996
Hecate Enthroned,38,1993,United Kingdom,"Symphonic black,Blackened death,Melodic black",-
Intervals,38,2011,Canada,Progressive,2011
Lita Ford,38,1979,USA,"Hard rock,Heavy",-
Luna Mortis,38,2008,USA,Melodic death,2008
Morgul,38,1991,Norway,Black,-
Outworld,38,1997,USA,Progressive power,1997
Pomegranate Tiger,38,2008,Canada,"Progressive,Instrumental",-
Seven Kingdoms,38,2006,USA,Power,2006
Striker,38,2007,Canada,"Thrash,Speed",-
Uncle Acid & The Deadbeats,38,2009,United Kingdom,"Doom,Psychedelic rock",2009
Varathron,38,1988,Greece,Black,-
Wormrot,38,2007,Singapore,Grindcore,2007
Yearning,38,1994,Finland,"Symphonic gothic,Atmospheric doom",2010
Adorned Brood,37,1993,Germany,"Folk,Black",1993
Ancient Wisdom,37,1992,Sweden,Atmospheric black,-
Burst,37,1993,Sweden,"Progressive metalcore,Hardcore,Post-hardcore ,Post-metal,Progressive sludge",1993
Demonoid,37,2002,Sweden,"Death,Thrash",-
Detonation,37,1997,The Netherlands,"Melodic death,Thrash",1997
Downfall Of Nur,37,2013,Argentina,"Atmospheric black,Folk",-
Grip Inc.,37,1993,USA,Thrash,1993
Katalepsy,37,2003,Russia,Brutal death,-
Khors,37,2004,Ukraine,Black,2004
Mael Mórdha,37,1998,Ireland,Celtic doom,-
Omen,37,1983,USA,"Heavy,Us power",1983
On Thorns I Lay,37,1992,Greece,"Gothic,Death doom,Doom",-
Progenie Terrestre Pura,37,2009,Italy,"Atmospheric black,Industrial black",2009
Pungent Stench,37,1988,Austria,Death,2007
Steel Attack,37,1995,Sweden,"Heavy,Power",1995
Superjoint Ritual,37,1993,USA,Sludge,2004
Torchbearer,37,2003,Sweden,"Blackened death,Thrash",2003
Viikate,37,1996,Finland,Melodic heavy,-
Waltari,37,1986,Finland,"Progressive thrash,Avantgarde,Alternative,Symphonic death,Industrial",1986
Æther Realm,36,2010,USA,"Melodic death,Folk",-
...And Oceans,36,1995,Finland,"Symphonic black,Industrial",1995
Agruss,36,2009,Ukraine,"Atmospheric black,Death",-
Anal Cunt,36,1988,USA,"Grindcore,Noisecore",1988
Aquaria,36,1999,Brazil,Symphonic power,-
Arena,36,1995,United Kingdom,Progressive,1995
Broken Hope,36,1988,USA,"Death,Goregrind",-
Chimp Spanner,36,2004,United Kingdom,"Progressive,Djent,Instrumental",2004
Crisix,36,2008,Spain,Thrash,-
Draugnim,36,1999,Finland,Pagan black,1999
Fueled By Fire,36,2002,USA,Thrash,-
Hammers Of Misfortune,36,1998,USA,Progressive,1998
Khold,36,2000,Norway,Black,-
Krampus,36,2009,Italy,"Folk,Melodic death",2009
Krux,36,2002,Sweden,Doom,-
Lunarsea,36,2003,Italy,Melodic death,2003
Mitochondrion,36,2003,Canada,"Progressive death,Blackened death",-
Monuments,36,2006,United Kingdom,"Progressive math,Djent",2006
Mortification,36,1990,Australia,Death,-
Nader Sadek,36,2011,USA,Death,2011
Nightmare,36,1979,France,"Heavy,Symphonic power",-
Paul Wardingham,36,2010,Australia,Progressive math,2010
Protector,36,1986,Germany,"Death,Thrash",-
Putrid Pile,36,2000,USA,Brutal death,2000
Times Of Grace,36,2007,USA,Melodic metalcore,-
Tombs,36,2007,USA,"Black,Sludge",2007
Trick Or Treat,36,2002,Italy,Power,-
Tyranny,36,2001,Finland,Funeral doom,2001
Vehemence,36,1997,USA,Technical death,-
Aesma Daeva,35,1998,USA,Symphonic,1998
Altaria,35,1999,Finland,Power,2016
Chevelle,35,1995,USA,"Alternative,Hard rock",1995
Dirge,35,1994,France,"Sludge,Industrial,Atmospheric sludge,Doom",-
Estradasphere,35,1998,USA,"Avantgarde,Fusion",1998
Evereve,35,1993,Germany,Atmospheric gothic,-
Fferyllt,35,2003,Russia,Folk,2003
Inferi,35,2006,USA,"Melodic death,Technical death",-
Kahtmayan,35,1998,Iran,"Progressive,Thrash,Instrumental",1998
Kimaera,35,2000,Lebanon,Death doom,-
Korzus,35,1983,Brazil,Thrash,1983
Minsk,35,2002,USA,Post-metal,-
Noekk,35,2004,Germany,Progressive doom,2004
Nyktalgia,35,2001,Germany,Depressive black,2008
Odious Mortem,35,1998,USA,Technical death,1998
Orchid,35,2007,USA,Doom,-
Pan.thy.monium,35,1990,Sweden,"Avantgarde,Progressive death",1990
Pro-Pain,35,1992,USA,"Crossover thrash,Hardcore",-
Spectral Lore,35,2005,Greece,"Atmospheric black,Dark ambient",2005
Steelwing,35,2009,Sweden,Heavy,-
Subsignal,35,2007,Germany,Progressive,2007
Subterranean Masquerade,35,1997,,"Progressive,Psychedelic rock",-
Walls Of Jericho,35,1998,USA,Metalcore,1998
Abnormality,34,2005,USA,"Brutal death,Technical death",-
Ambeon,34,2001,The Netherlands,"Progressive,Ambient",2001
Arafel,34,1997,Israel,Melodic black,-
Ashes Of Ares,34,2012,USA,Heavy,2012
Ashes You Leave,34,1995,Croatia,"Doom,Gothic doom",-
Atrophy,34,1986,USA,Thrash,1986
Dawn Of Demise,34,2003,Denmark,Death,-
Emptiness,34,1998,Belgium,Blackened death,1998
Ghost Bath,34,2012,USA,"Depressive black,Post-metal",-
Menace Ruine,34,2006,Canada,"Atmospheric black,Drone doom,Neofolk,Noise",2006
Prostitute Disfigurement,34,2000,The Netherlands,Brutal death,-
Pythia,34,2007,United Kingdom,Symphonic power,2007
Sadist,34,1991,Italy,Progressive death,-
Shaolin Death Squad,34,2001,USA,"Progressive,Avantgarde",2001
Storm,34,1993,Norway,Blackened folk,1995
Tad Morose,34,1991,Sweden,Progressive power,1991
Torture Squad,34,1990,Brazil,"Death,Thrash",-
Tygers Of Pan Tang,34,1978,United Kingdom,"New wave of british heavy,Heavy",1978
White Skull,34,1988,Italy,Power,-
Acid King,33,1993,USA,Stoner,1993
Age Of Silence,33,2004,Norway,Avantgarde,-
Antaeus,33,1994,France,Black,1994
Aosoth,33,2002,France,Black,-
Artrosis,33,1995,Poland,Gothic,1995
Beyond The Black,33,2014,Germany,Symphonic,-
Butterfly Temple,33,1995,Russia,Pagan folk,1995
Callisto,33,2001,Finland,Post-metal,-
Eye Of Solitude,33,2010,United Kingdom,Death doom,2010
Falchion,33,2002,Finland,"Melodic death,Folk",2009
Fjoergyn,33,2003,Germany,"Folk,Symphonic",2003
Funeralium,33,2003,France,Funeral doom,-
InnerWish,33,1995,Greece,Power,1995
Kalevala,33,2007,Russia,Folk,-
Life Of Agony,33,1989,USA,"Hardcore,Alternative,Grunge",1989
Loits,33,1996,Estonia,Black,-
Manes,33,1993,Norway,"Black,Electro avantgarde",1993
Misþyrming,33,2013,Iceland,Black,-
Morgion,33,1990,USA,"Death,Doom",1990
Obsidian Kingdom,33,2005,Spain,Extreme progressive,-
Olympos Mons,33,2002,Finland,Power,2002
Slaughter,33,1984,Canada,"Death,Thrash",1990
Spineshank,33,1996,USA,"Industrial,Nu",1996
Sunburst,33,2010,Greece,"Progressive,Power",-
The 11th Hour,33,2008,The Netherlands,Doom,2008
The Exploited,33,1979,United Kingdom,"Hardcore,Crossover thrash,Punk",-
Thergothon,33,1990,Finland,Funeral doom,1990
Torche,33,2004,USA,"Stoner,Sludge",-
Viathyn,33,2006,Canada,Progressive power,2006
Weeping Silence,33,1998,Malta,"Gothic,Doom",-
Whyzdom,33,2007,France,Symphonic,2007
Ásmegin,32,1998,Norway,Viking folk,-
Arthemesia,32,1994,Finland,Melodic black,1994
Botanist,32,2009,USA,Experimental black,-
Coffins,32,1996,Japan,Death,1996
Crashdïet,32,2000,Sweden,Glam,-
Cryptic Wintermoon,32,1993,Germany,"Symphonic black,Thrash",1993
Dawn Of Destiny,32,2005,Germany,Power,-
Deals Death,32,2008,Sweden,Gothenburg,2008
Elder,32,2006,USA,"Psychedelic rock,Stoner",-
Enslavement Of Beauty,32,1995,Norway,"Melodic black,Gothic",1995
Ghoul,32,2001,USA,"Death,Thrash",-
Hamferð,32,2008,Faroe Islands,Doom,2008
Heavens Gate,32,1987,Germany,Heavy,1999
Megaherz,32,1993,Germany,"Industrial,Alternative",1993
Michael Angelo Batio,32,1993,USA,"Neoclassical heavy,Instrumental hard rock",-
Nanowar Of Steel,32,2003,Italy,"Heavy,Power",2003
Narnia,32,1996,Sweden,Power,-
Native Construct,32,2011,USA,Progressive,2011
Nox Aurea,32,2005,Sweden,"Melodic death,Doom",-
Raventale,32,2005,Ukraine,"Atmospheric black,Doom",2005
Sinner,32,1980,Germany,Heavy,-
SpellBlast,32,1999,Italy,"Folk,Power",1999
Spiral Architect,32,1993,Norway,Technical progressive,-
Three,32,1994,USA,Progressive rock,1994
Windhand,32,2008,USA,"Doom,Stoner",-
Amoral,31,1997,Finland,"Technical death,Power,Death,Thrash",1997
Blind Stare,31,1999,Finland,"Melodic death,Extreme power",-
Coffinworm,31,2007,USA,"Blackened sludge,Doom",2007
Crucified Barbara,31,1998,Sweden,"Hard rock,Heavy",2016
Desultory,31,1989,Sweden,Death,1989
Devian,31,2006,Sweden,"Black,Death",2011
Dreadnought,31,2012,USA,"Black,Folk,Progressive",2012
Endstille,31,2000,Germany,Black,-
Faithful Darkness,31,2004,Sweden,Gothenburg,2004
Forest Silence,31,1997,Hungary,"Dark,Ambient,Atmospheric black",-
Helheim,31,1992,Norway,Viking black,1992
Human Fortress,31,1997,Germany,"Hard rock,Power",-
Lascaille's Shroud,31,2008,USA,Progressive death,2008
Le Grand Guignol,31,1996,Luxembourg,"Symphonic black,Avantgarde black",-
Lingua Mortis Orchestra,31,2013,Germany,Symphonic,2013
Longing For Dawn,31,2002,Canada,"Death doom,Funeral doom",-
Murmuüre,31,2006,France,Ambient black,2006
Nailbomb,31,1994,Brazil,Industrial thrash,1995
Negative,31,1997,Finland,"Suomi,Glam",1997
Panzerchrist,31,1994,Denmark,"Death,Blackened death",-
Rivers Of Nihil,31,2009,USA,Technical death,2009
Root,31,1987,Czech Republic,Black,-
Skuggsjá,31,2014,Norway,Pagan folk,2014
System Divide,31,2008,USA,Melodic death,2014
Teitanblood,31,2003,Spain,"Black,Death",2003
The Chasm,31,1993,Mexico,Death,-
The Red Chord,31,1999,USA,"Deathcore,Grindcore,Technical deathcore",1999
Verdunkeln,31,1998,Germany,Psychedelic black,-
Abruptum,30,1990,Sweden,"Black,Ambient,Noise",1990
Cadacross,30,1997,Finland,"Death,Melodic death,Folk,Power",2005
Carpe Noctem,30,2005,Iceland,Black,2005
Cloak Of Altering,30,2011,The Netherlands,Avantgarde black,-
Code,30,1998,United Kingdom,"Black,Doom,Post-rock,Progressive rock",1998
Criminal,30,1991,Chile,"Death,Thrash",-
Cryonic Temple,30,1996,Sweden,Power,1996
Extreme Noise Terror,30,1985,United Kingdom,"Crust,Punk ,Death,Grindcore",-
Faal,30,2005,The Netherlands,"Black,Doom",2005
Gormathon,30,2009,Sweden,Melodic death,-
Heretoir,30,2006,Germany,Depressive black,2006
Hermética,30,1987,Argentina,Thrash,1994
Highland Glory,30,2001,Norway,Power,2001
Iskald,30,2005,Norway,Melodic black,-
Katharsis,30,1994,Germany,Black,1994
Kawir,30,1993,Greece,Pagan black,-
Kuolemanlaakso,30,2010,Finland,Death doom,2010
Light This City,30,2002,USA,"Melodic death,Metalcore",2008
Lizzy Borden,30,1983,USA,Heavy,1983
Lullacry,30,1999,Finland,Suomi,2014
Merciless,30,1986,Sweden,Thrash,1986
Mourning Lenore,30,2008,Portugal,Death doom,2012
Netherion,30,2010,Syria,Death,2010
Phideaux,30,1996,USA,Progressive rock,-
Runic,30,2001,Spain,"Viking folk,Extreme power",2001
Saurom,30,1996,Spain,"Folk,Power",-
ScoX,30,2010,Iran,Brutal death,2010
Solstice,30,1990,United Kingdom,Epic doom,-
Todesbonden,30,2003,USA,"Atmospheric doom,Atmospheric gothic",2003
Troll,30,1992,Norway,Industrial black,-
Valkyrja,30,2004,Sweden,Black,2004
Wulfgar,30,2005,Sweden,Melodic death,-
Ævangelist,29,2010,USA,Blackened death,2010
Almafuerte,29,1995,Argentina,"Heavy,Thrash,Folk",-
American Head Charge,29,1996,USA,"Industrial,Nu",1996
Autumnblaze,29,1996,Germany,"Black,Gothic rock,Doom,Gothic",-
Beheaded,29,1991,Malta,"Brutal death,Technical death",1991
Christian Mistress,29,2008,USA,Heavy,-
Daemonarch,29,1998,Portugal,Melodic black,1998
Destrage,29,2005,Italy,"Melodic death,Metalcore",-
Hammerforce,29,2006,Russia,"Symphonic,Power,Progressive",2006
King's X,29,1980,USA,"Progressive rock,Progressive",-
Mare Cognitum,29,2011,USA,Atmospheric black,2011
Nahemah,29,1997,Spain,"Symphonic black,Progressive death,Post-metal",2012
Necrodeath,29,1984,Italy,Blackened thrash,1984
Nothgard,29,2008,Germany,Pagan black,-
Onmyo-Za,29,1999,Japan,"Heavy,Folk",1999
Pharaoh,29,1997,USA,"Heavy,Us power",-
Procession,29,2006,Chile,Doom,2006
Scar The Martyr,29,2013,USA,"Alternative,Industrial",-
Stravaganzza,29,2003,Spain,Symphonic,2003
Sunless Rise,29,2006,Russia,"Melodic death,Extreme power",-
Theory In Practice,29,1995,Sweden,"Melodic death,Technical death",1995
Thrudvangar,29,1998,Germany,Viking black,-
Trauma,29,1988,Poland,Death,1988
Vale Of Pnath,29,2006,USA,Technical death,-
Zimmers Hole,29,1991,Canada,"Speed,Thrash",1991
Acheron,28,1988,USA,Blackened death,-
Barathrum,28,1990,Finland,Black,1990
Bell Witch,28,2010,USA,Funeral doom,-
Bifröst,28,2005,Austria,"Pagan black,Folk",2005
Biomechanical,28,2001,United Kingdom,"Progressive,Thrash",-
Black Flag,28,1976,USA,"Sludge,Hardcore,Punk",1976
Dies Irae,28,1992,Poland,Death,2005
Dreams Of Sanity,28,1991,Austria,Symphonic,1991
Ekove Efrits,28,2001,Iran,Black,-
Folkstone,28,2004,Italy,Folk,2004
Gloria Morti,28,1999,Finland,"Thrash,Melodic black,Melodic death",-
Kälter,28,2006,Canada,"Melodic death,Progressive",2006
Kobra And The Lotus,28,2008,Canada,Heavy,-
Kongh,28,2004,Sweden,"Sludge,Doom",2004
Negator,28,2003,Germany,Black,-
Nervosa,28,2010,Brazil,Thrash,2010
Nightbringer,28,1999,USA,Black,-
Obliteration,28,2001,Norway,Death,2001
Odious,28,1998,Egypt,"Black,Oriental folk",-
Omega Lithium,28,2007,Croatia,Gothic industrial,2007
Poema Arcanus,28,1992,Chile,Progressive doom,-
Scarve,28,1994,France,Technical death,1994
Sceptic,28,1994,Poland,Technical death,-
Schandmaul,28,1998,Germany,"Medieval folk,Medieval,Folk rock",1998
Skagos,28,2007,Canada,Atmospheric black,-
SpiRitual,28,2005,Germany,Gothic,2005
Svartby,28,2004,Russia,Folk,-
The Amenta,28,2002,Australia,Industrial death,2002
The Axis Of Perdition,28,2002,United Kingdom,"Industrial black,Dark,Ambient",2013
Weakling,28,1998,USA,Black,1998
Welicoruss,28,2005,Russia,Symphonic black,-
When Nothing Remains,28,2010,Sweden,Funeral doom,2010
Winger,28,1987,USA,"Glam,Hard rock",-
Wretched,28,2005,USA,"Melodic deathcore,Technical death",2005
Zeal And Ardor,28,2014,USA,Avantgarde black,-
Armageddon,27,1997,Sweden,"Melodic death,Heavy,Power",1997
Atlantean Kodex,27,2005,Germany,"Heavy,Doom",-
Beautiful Sin,27,2005,Germany,Heavy,2005
Callenish Circle,27,1992,The Netherlands,Gothenburg,2007
Chaos Divine,27,2005,Australia,"Melodic death,Progressive",2005
Crionics,27,1997,Poland,"Black,Death",2011
Crom,27,1997,Germany,"Viking folk,Power",1997
Decadence,27,2003,Sweden,"Thrash,Melodic death",-
Dekadent,27,2005,Slovenia,Symphonic black,2005
Dråpsnatt,27,2005,Sweden,"Atmospheric black,Pagan black",-
Emigrate,27,2005,Germany,Industrial,2005
Eucharist,27,1989,Sweden,Melodic death,-
Frosttide,27,2009,Finland,Extreme power,2009
Hammer Horde,27,2007,USA,Pagan black,-
Immortal Souls,27,1991,Finland,"Melodic death,Heavy,Doom",1991
Ingested,27,2004,United Kingdom,Brutal death,-
Insania,27,1992,Sweden,Power,1992
Kekal,27,1995,Indonesia,"Black,Avantgarde",-
Khanate,27,2000,USA,"Extreme sludge,Doom",2000
Leah,27,2010,Canada,Symphonic,-
Oceans Of Sadness,27,1995,Belgium,"Extreme avantgarde,Extreme progressive",1995
Paragon,27,1990,Germany,Power,-
Parasite Inc.,27,2007,Germany,Melodic death,2007
Planet Of Zeus,27,2000,Greece,Stoner,-
Sister Sin,27,2002,Sweden,Heavy,2002
Slechtvalk,27,1999,The Netherlands,Black,-
Sons Of Seasons,27,2007,Germany,Symphonic progressive,2007
Sun Of The Blind,27,2006,Switzerland,Avantgarde black,-
Svart Crown,27,2004,France,"Black,Death",2004
The Few Against Many,27,2008,Sweden,"Melodic death,Symphonic",-
The Haarp Machine,27,2007,United Kingdom,"Technical death,Progressive",2007
Therapy?,27,1989,United Kingdom,"Alternative,Hard rock",-
Thou,27,2005,USA,"Sludge,Doom",2005
Timo Tolkki,27,1994,Finland,"Neoclassical power,Progressive",-
Worship,27,1998,Germany,Funeral doom,1998
Al-Namrood,26,2008,Saudi Arabia,Black,-
An Abstract Illusion,26,2007,Sweden,"Melodic death,Progressive death",2007
Arakain,26,1982,Czech Republic,Thrash,-
Arcana Coelestia,26,2005,Italy,"Funeral doom,Atmospheric black",2005
Bornholm,26,2000,Hungary,Pagan black,-
Bulldozer,26,1980,Italy,Thrash,1980
Cage,26,1992,USA,Heavy,-
Cold Body Radiation,26,2009,The Netherlands,"Atmospheric black,Shoegaze,Post-rock",2009
Crystal Eyes,26,1992,Sweden,Power,-
Deathchain,26,2001,Finland,"Thrash,Death",2001
Derek Sherinian,26,1996,USA,"Progressive,Progressive rock",-
Desolate Shrine,26,2010,Finland,Death,2010
Destroy Destroy Destroy,26,2003,USA,Extreme power,-
Drowning The Light,26,2003,Australia,Black,2003
Elegy,26,1992,The Netherlands,Progressive power,-
Elf,26,1967,USA,"Blues rock,Hard rock",1967
Fozzy,26,1999,USA,Heavy,-
Gardenian,26,1996,Sweden,Melodic death,1996
Hades Almighty,26,1998,Norway,Black,-
Holy Terror,26,1985,USA,Thrash,1985
HolyHell,26,2005,USA,Symphonic power,-
